President,Start Date,End Date,Approving,Disapproving,Unsure/NoData
George W. Bush,01/09/2009,01/11/2009,34,61,5
,12/12/2008,12/14/2008,29,67,4
,12/04/2008,12/07/2008,32,61,7
,11/13/2008,11/16/2008,29,66,4
,11/07/2008,11/09/2008,28,68,5
,10/31/2008,11/02/2008,25,70,5
,10/23/2008,10/26/2008,31,66,3
,10/10/2008,10/12/2008,25,71,4
,10/03/2008,10/05/2008,25,70,6
,09/26/2008,09/27/2008,27,69,4
,09/05/2008,09/07/2008,33,64,3
,08/21/2008,08/23/2008,29,66,5
,08/07/2008,08/10/2008,33,61,6
,07/25/2008,07/27/2008,32,65,3
,07/10/2008,07/13/2008,31,61,8
,06/15/2008,06/19/2008,28,68,4
,06/09/2008,06/12/2008,30,64,6
,05/30/2008,06/01/2008,28,68,4
,05/01/2008,05/03/2008,28,67,5
,04/18/2008,04/20/2008,28,69,4
,04/06/2008,04/09/2008,28,67,5
,03/14/2008,03/16/2008,32,64,4
,03/06/2008,03/09/2008,32,64,4
,02/21/2008,02/24/2008,32,62,5
,02/11/2008,02/14/2008,31,65,4
,02/08/2008,02/10/2008,33,61,5
,01/30/2008,02/02/2008,34,61,5
,01/10/2008,01/13/2008,34,60,6
,01/04/2008,01/06/2008,32,64,4
,12/14/2007,12/16/2007,32,65,3
,12/06/2007,12/09/2007,37,57,5
,11/30/2007,12/02/2007,34,62,4
,11/11/2007,11/14/2007,32,61,7
,11/02/2007,11/04/2007,31,64,5
,10/12/2007,10/14/2007,32,64,3
,10/04/2007,10/07/2007,32,64,4
,09/14/2007,09/16/2007,36,62,2
,09/07/2007,09/08/2007,33,62,5
,08/13/2007,08/16/2007,32,63,5
,08/03/2007,08/05/2007,34,62,4
,07/12/2007,07/15/2007,31,63,6
,07/06/2007,07/08/2007,29,66,5
,06/11/2007,06/14/2007,32,65,3
,06/01/2007,06/03/2007,32,62,6
,05/10/2007,05/13/2007,33,62,5
,05/04/2007,05/06/2007,34,63,3
,04/13/2007,04/15/2007,36,60,4
,04/02/2007,04/05/2007,38,58,4
,03/23/2007,03/25/2007,34,62,4
,03/11/2007,03/14/2007,35,61,4
,03/02/2007,03/04/2007,33,63,4
,02/09/2007,02/11/2007,37,59,3
,02/01/2007,02/04/2007,32,65,4
,01/12/2007,01/14/2007,34,63,4
,01/05/2007,01/07/2007,37,59,4
,12/11/2006,12/14/2006,35,61,4
,12/08/2006,12/10/2006,38,59,4
,11/09/2006,11/12/2006,33,62,4
,11/02/2006,11/05/2006,38,56,6
,10/20/2006,10/22/2006,37,58,4
,10/09/2006,10/12/2006,37,57,6
,10/06/2006,10/08/2006,37,59,4
,09/15/2006,09/17/2006,44,51,5
,09/07/2006,09/10/2006,39,56,5
,08/18/2006,08/20/2006,42,54,4
,08/07/2006,08/10/2006,37,59,4
,07/28/2006,07/30/2006,40,56,4
,07/21/2006,07/23/2006,37,59,4
,07/06/2006,07/09/2006,40,55,5
,06/23/2006,06/25/2006,37,60,3
,06/09/2006,06/11/2006,38,56,6
,06/01/2006,06/04/2006,36,57,6
,05/08/2006,05/11/2006,33,61,6
,05/05/2006,05/07/2006,31,65,5
,04/28/2006,04/30/2006,34,63,3
,04/10/2006,04/13/2006,36,59,5
,04/07/2006,04/09/2006,37,60,3
,03/13/2006,03/16/2006,37,59,5
,03/10/2006,03/12/2006,36,60,4
,02/28/2006,03/01/2006,38,60,2
,02/09/2006,02/12/2006,39,56,4
,02/06/2006,02/09/2006,42,55,4
,01/20/2006,01/22/2006,43,54,4
,01/09/2006,01/12/2006,43,53,4
,01/06/2006,01/08/2006,43,54,3
,12/19/2005,12/22/2005,43,53,4
,12/16/2005,12/18/2005,41,56,3
,12/09/2005,12/11/2005,42,55,3
,12/05/2005,12/08/2005,43,51,4
,11/17/2005,11/20/2005,38,56,4
,11/11/2005,11/13/2005,36,60,3
,11/07/2005,11/10/2005,40,54,4
,10/28/2005,10/30/2005,40,56,2
,10/24/2005,10/27/2005,40,55,3
,10/21/2005,10/23/2005,41,54,3
,10/13/2005,10/16/2005,39,57,3
,09/26/2005,09/28/2005,45,50,4
,09/16/2005,09/18/2005,39,57,2
,09/12/2005,09/15/2005,44,52,3
,09/08/2005,09/11/2005,46,50,3
,08/28/2005,08/30/2005,45,52,2
,08/22/2005,08/25/2005,39,55,4
,08/08/2005,08/11/2005,45,50,4
,07/22/2005,07/24/2005,48,47,3
,07/07/2005,07/10/2005,48,48,3
,06/06/2005,06/26/2005,41,52,6
,06/16/2005,06/19/2005,47,50,2
,06/06/2005,06/08/2005,47,48,4
,05/23/2005,05/26/2005,47,47,4
,05/20/2005,05/22/2005,45,50,3
,05/02/2005,05/05/2005,50,45,4
,04/29/2005,05/01/2005,47,49,3
,04/18/2005,04/21/2005,47,48,3
,04/04/2005,04/07/2005,50,44,4
,04/01/2005,04/02/2005,47,48,3
,03/18/2005,03/20/2005,51,44,4
,03/07/2005,03/10/2005,52,43,4
,02/25/2005,02/27/2005,52,45,2
,02/21/2005,02/24/2005,51,45,3
,02/07/2005,02/10/2005,48,47,3
,02/04/2005,02/06/2005,57,39,3
,01/07/2005,01/09/2005,51,44,3
,01/03/2005,01/05/2005,51,44,3
,12/17/2004,12/19/2004,49,46,4
,12/05/2004,12/08/2004,52,44,3
,11/07/2004,11/10/2004,53,44,2
,10/29/2004,10/31/2004,47,47,4
,10/22/2004,10/24/2004,50,46,3
,10/14/2004,10/16/2004,51,46,2
,10/11/2004,10/14/2004,48,48,2
,10/09/2004,10/10/2004,47,48,3
,10/01/2004,10/03/2004,49,48,1
,09/24/2004,09/26/2004,53,44,1
,09/13/2004,09/15/2004,51,45,3
,09/03/2004,09/05/2004,51,46,2
,08/23/2004,08/25/2004,49,46,3
